site_no,datetime,Q cfs
3508050,10/8/18,479
3508050,10/9/18,379
3508050,10/10/18,365
3508050,10/11/18,409
3508050,10/12/18,348
3508050,10/13/18,339
3508050,10/14/18,232
3508050,10/15/18,62.6
3508050,10/16/18,150
3508050,10/17/18,175
3508050,10/18/18,164
3508050,10/19/18,189
3508050,10/20/18,270
3508050,10/21/18,268
3508050,10/22/18,164
3508050,10/23/18,44.7
3508050,10/24/18,43.4
3508050,10/25/18,43
3508050,10/26/18,207
3508050,10/27/18,286
3508050,10/28/18,221
3508050,10/29/18,216
3508050,10/30/18,213
3508050,10/31/18,204
3508050,11/1/18,159
3508050,11/2/18,142
3508050,11/3/18,133
3508050,11/4/18,133
3508050,11/5/18,137
3508050,11/6/18,159
3508050,11/7/18,150
3508050,11/8/18,166
3508050,11/9/18,176
3508050,11/10/18,170
3508050,11/11/18,451
3508050,11/12/18,554
3508050,11/13/18,446
3508050,11/14/18,816
3508050,11/15/18,970
3508050,11/16/18,938
3508050,11/17/18,758
3508050,11/18/18,710
3508050,11/19/18,746
3508050,11/20/18,648
3508050,11/21/18,718
3508050,11/22/18,732
3508050,11/23/18,712
3508050,11/24/18,685
3508050,11/25/18,708
3508050,11/26/18,712
3508050,11/27/18,406
3508050,11/28/18,293
3508050,11/29/18,304
3508050,11/30/18,704
3508050,12/1/18,742
3508050,12/2/18,627
3508050,12/3/18,725
3508050,12/4/18,824
3508050,12/5/18,796
3508050,12/6/18,790
3508050,12/7/18,592
3508050,12/8/18,249
3508050,12/9/18,176
3508050,12/10/18,246
3508050,12/11/18,717
3508050,12/12/18,842
3508050,12/13/18,769
3508050,12/14/18,416
3508050,12/15/18,931
3508050,12/16/18,955
3508050,12/17/18,896
3508050,12/18/18,896
3508050,12/19/18,897
3508050,12/20/18,916
3508050,12/21/18,1080
3508050,12/22/18,1030
3508050,12/23/18,975
3508050,12/24/18,891
3508050,12/25/18,887
3508050,12/26/18,878
3508050,12/27/18,887
3508050,12/28/18,2060
3508050,12/29/18,1770
3508050,12/30/18,1650
3508050,12/31/18,1480
